4096, 32, 158.9060us, 0.8248G/s
4096, 64, 132.5607us, 1.9775G/s
4096, 128, 166.6546us, 3.1460G/s
4096, 256, 234.4847us, 4.4718G/s
4096, 512, 274.1814us, 7.6488G/s
4096, 1024, 375.5093us, 11.1696G/s
4096, 2048, 552.8927us, 15.1722G/s
4096, 4096, 925.0641us, 18.1363G/s
4096, 8192, 1928.3295us, 17.4008G/s
4096, 16384, 3362.6556us, 19.9571G/s
4096, 32768, 6240.9639us, 21.5059G/s
32, 4096, 183.2247us, 0.7154G/s
64, 4096, 135.1833us, 1.9392G/s
128, 4096, 146.3890us, 3.5815G/s
256, 4096, 254.7503us, 4.1161G/s
512, 4096, 328.8984us, 6.3763G/s
1024, 4096, 376.3437us, 11.1449G/s
2048, 4096, 583.0526us, 14.3874G/s
4096, 4096, 907.1827us, 18.4938G/s
8192, 4096, 1942.1577us, 17.2769G/s
16384, 4096, 3330.3499us, 20.1507G/s
32768, 4096, 6176.4717us, 21.7305G/s
