8, 0.000916, 0.000009
16, 0.000876, 0.000018
32, 0.000909, 0.000035
64, 0.000929, 0.000069
128, 0.000920, 0.000139
256, 0.000914, 0.000280
512, 0.000890, 0.000576
1024, 0.000882, 0.001161
2048, 0.000890, 0.002302
4096, 0.000889, 0.004608
8192, 0.000877, 0.009337
16384, 0.000882, 0.018580
32768, 0.000886, 0.036996
65536, 0.000893, 0.073369
131072, 0.000878, 0.149248
262144, 0.000942, 0.278322
524288, 0.000915, 0.572886
1048576, 0.000921, 1.138948
2097152, 0.000960, 2.183466
4194304, 0.001000, 4.195608
8388608, 0.001244, 6.742239
16777216, 0.001625, 10.321781
33554432, 0.002189, 15.325873
67108864, 0.003188, 21.050367
134217728, 0.004879, 27.507266
268435456, 0.008420, 31.879377
536870912, 0.015437, 34.779248
1073741824, 0.028994, 37.033745
2147483648, 0.056042, 38.318968
4294967296, 0.110422, 38.895849
