4096, 32, 303.5069us, 286.6983us, 0.4319G/s
4096, 64, 320.1962us, 285.1486us, 0.8187G/s
4096, 128, 378.4895us, 270.7243us, 1.3852G/s
4096, 256, 346.5414us, 299.3345us, 3.0258G/s
4096, 512, 444.0546us, 273.9429us, 4.7227G/s
4096, 1024, 621.3188us, 296.2351us, 6.7506G/s
4096, 2048, 985.8608us, 296.3543us, 8.5089G/s
4096, 4096, 1824.7366us, 336.4086us, 9.1943G/s
4096, 8192, 3411.6507us, 276.6848us, 9.8352G/s
4096, 16384, 6585.8364us, 275.9695us, 10.1899G/s
4096, 32768, 12674.5701us, 280.4995us, 10.5895G/s
32, 4096, 323.7724us, 274.8966us, 0.4048G/s
64, 4096, 335.8126us, 322.9380us, 0.7806G/s
128, 4096, 308.3944us, 275.2542us, 1.7001G/s
256, 4096, 344.7533us, 305.6526us, 3.0415G/s
512, 4096, 465.9891us, 323.8916us, 4.5004G/s
1024, 4096, 627.3985us, 304.4605us, 6.6852G/s
2048, 4096, 973.1054us, 276.4463us, 8.6205G/s
4096, 4096, 1811.2659us, 311.7323us, 9.2627G/s
8192, 4096, 3355.2647us, 275.8503us, 10.0005G/s
16384, 4096, 6566.8821us, 362.6347us, 10.2193G/s
32768, 4096, 12564.0631us, 311.9707us, 10.6827G/s
